GeographyKey,GeographyLevel,GeographyName,CountryCode,CountryName,RegionCode,RegionName,OldLocalAuthorityCode,LocalAuthorityCode,LocalAuthorityName,GeographyLevelSort,MapLocation,AreaLabel
LA|E06000007,Local authority,Warrington,E92000001,England,E12000002,North West,877,E06000007,Warrington,3,"Warrington, England",Warrington (North West)
LA|E06000064,Local authority,Westmorland and Furness,E92000001,England,E12000002,North West,943,E06000064,Westmorland and Furness,3,"Westmorland and Furness, England",Westmorland and Furness (North West)
LA|E08000010,Local authority,Wigan,E92000001,England,E12000002,North West,359,E08000010,Wigan,3,"Wigan, England",Wigan (North West)
LA|E08000015,Local authority,Wirral,E92000001,England,E12000002,North West,344,E08000015,Wirral,3,"Wirral, England",Wirral (North West)
LA|E06000036,Local authority,Bracknell Forest,E92000001,England,E12000008,South East,867,E06000036,Bracknell Forest,3,"Bracknell Forest, England",Bracknell Forest (South East)
LA|E06000043,Local authority,Brighton and Hove,E92000001,England,E12000008,South East,846,E06000043,Brighton and Hove,3,"Brighton and Hove, England",Brighton and Hove (South East)
LA|E10000002,Local authority,Buckinghamshire,E92000001,England,E12000008,South East,825,E10000002,Buckinghamshire,3,"Buckinghamshire, England",Buckinghamshire (South East)
LA|E06000060,Local authority,Buckinghamshire,E92000001,England,E12000008,South East,825,E06000060,Buckinghamshire,3,"Buckinghamshire, England",Buckinghamshire (South East)
LA|E10000011,Local authority,East Sussex,E92000001,England,E12000008,South East,845,E10000011,East Sussex,3,"East Sussex, England",East Sussex (South East)
LA|E10000014,Local authority,Hampshire,E92000001,England,E12000008,South East,850,E10000014,Hampshire,3,"Hampshire, England",Hampshire (South East)
LA|E06000046,Local authority,Isle of Wight,E92000001,England,E12000008,South East,921,E06000046,Isle of Wight,3,"Isle of Wight, England",Isle of Wight (South East)
LA|E10000016,Local authority,Kent,E92000001,England,E12000008,South East,886,E10000016,Kent,3,"Kent, England",Kent (South East)
LA|E06000035,Local authority,Medway,E92000001,England,E12000008,South East,887,E06000035,Medway,3,"Medway, England",Medway (South East)
LA|E06000042,Local authority,Milton Keynes,E92000001,England,E12000008,South East,826,E06000042,Milton Keynes,3,"Milton Keynes, England",Milton Keynes (South East)
LA|E10000025,Local authority,Oxfordshire,E92000001,England,E12000008,South East,931,E10000025,Oxfordshire,3,"Oxfordshire, England",Oxfordshire (South East)
LA|E06000044,Local authority,Portsmouth,E92000001,England,E12000008,South East,851,E06000044,Portsmouth,3,"Portsmouth, England",Portsmouth (South East)
LA|E06000038,Local authority,Reading,E92000001,England,E12000008,South East,870,E06000038,Reading,3,"Reading, England",Reading (South East)
LA|E06000039,Local authority,Slough,E92000001,England,E12000008,South East,871,E06000039,Slough,3,"Slough, England",Slough (South East)
LA|E06000045,Local authority,Southampton,E92000001,England,E12000008,South East,852,E06000045,Southampton,3,"Southampton, England",Southampton (South East)
